"Weekly","Groups","Mean","Median","Sd","Count"
1849-12-30,81,16.2,16,6.9065186599328,5
1850-01-06,96,13.7142857142857,14,4.71572849495126,7
1850-01-13,80,11.4285714285714,12,2.81999662276056,7
1850-01-20,98,14,8,8.4656167328002,7
1850-01-27,127,18.1428571428571,19,3.97611918955202,7
1850-02-03,124,17.7142857142857,17,1.79947082168487,7
1850-02-10,98,14,14,6.60807586719967,7
1850-02-17,135,19.2857142857143,19,5.58910504804618,7
1850-02-24,105,15,14,3.82970843102535,7
1850-03-03,120,17.1428571428571,16,6.54289873141285,7
1850-03-10,123,17.5714285714286,18,3.77964473009227,7
1850-03-17,91,13,13,2.3094010767585,7
1850-03-24,92,13.1428571428571,13,2.96808419852332,7
1850-03-31,39,5.57142857142857,6,3.59894164336975,7
1850-04-07,42,6,5,3.16227766016838,7
1850-04-14,107,15.2857142857143,15,2.6903708365382,7
1850-04-21,44,6.28571428571429,6,2.56347977784662,7
1850-04-28,56,8,6,5.41602560309064,7
1850-05-05,102,14.5714285714286,14,2.07019667802706,7
1850-05-12,76,10.8571428571429,12,5.66946709513841,7
1850-05-19,69,9.85714285714286,9,1.67616341969505,7
1850-05-26,85,12.1428571428571,11,3.67099311851582,7
1850-06-02,97,13.8571428571429,13,3.8483144114695,7
1850-06-09,131,18.7142857142857,24,8.26063528053958,7
1850-06-16,75,10.7142857142857,10,2.28868854108532,7
1850-06-23,60,8.57142857142857,8,2.63673679998231,7
1850-06-30,29,4.14285714285714,6,2.47847879612821,7
1850-07-07,78,11.1428571428571,10,7.77664390828013,7
1850-07-14,89,12.7142857142857,14,7.25061573739973,7
1850-07-21,6,0.857142857142857,0,1.0690449676497,7
1850-07-28,51,7.28571428571429,7,3.90360029179413,7
1850-08-04,78,11.1428571428571,11,1.67616341969505,7
1850-08-11,59,8.42857142857143,9,2.14919697074224,7
1850-08-18,90,12.8571428571429,13,1.95180014589707,7
1850-08-25,91,13,15,2.88675134594813,7
1850-09-01,132,18.8571428571429,19,2.67261241912424,7
1850-09-08,115,16.4285714285714,16,3.82348631736111,7
1850-09-15,101,14.4285714285714,14,3.9940431835899,7
1850-09-22,105,15,15,1.4142135623731,7
1850-09-29,80,11.4285714285714,12,2.63673679998231,7
1850-10-06,67,9.57142857142857,10,2.76026223736942,7
1850-10-13,126,18,17,3.87298334620742,7
1850-10-20,95,13.5714285714286,14,1.71824938596845,7
1850-10-27,79,11.2857142857143,10,3.25137333621173,7
1850-11-03,31,4.42857142857143,2,4.07664661444276,7
1850-11-10,51,7.28571428571429,6,3.09377254681539,7
1850-11-17,98,14,13,3,7
1850-11-24,103,14.7142857142857,15,4.23140188409963,7
1850-12-01,59,8.42857142857143,10,3.10145895008263,7
1850-12-08,78,11.1428571428571,13,3.80475892484537,7
1850-12-15,99,14.1428571428571,13,2.73426232761059,7
1850-12-22,82,11.7142857142857,11,4.71572849495126,7
1850-12-29,69,9.85714285714286,10,1.3451854182691,7
1851-01-05,183,26.1428571428571,28,2.85356919363403,7
1851-01-12,87,12.4285714285714,10,6.52832655579112,7
1851-01-19,45,6.42857142857143,7,2.93582145558064,7
1851-01-26,93,13.2857142857143,15,5.93616839704664,7
1851-02-02,171,24.4285714285714,24,3.30943816264649,7
1851-02-09,115,16.4285714285714,15,3.30943816264649,7
1851-02-16,128,18.2857142857143,19,3.59231985000806,7
1851-02-23,128,18.2857142857143,18,2.75162289775117,7
1851-03-02,84,12,12,0.577350269189626,7
1851-03-09,94,13.4285714285714,13,2.22539456105675,7
1851-03-16,84,12,13,2.3094010767585,7
1851-03-23,69,9.85714285714286,10,2.26778683805536,7
1851-03-30,64,9.14285714285714,9,1.86445447147161,7
1851-04-06,67,9.57142857142857,8,2.8784916685157,7
1851-04-13,111,15.8571428571429,16,3.23669437485075,7
1851-04-20,49,7,7,1.82574185835055,7
1851-04-27,79,11.2857142857143,10,2.87020822207993,7
1851-05-04,114,16.2857142857143,16,2.49761791275112,7
1851-05-11,91,13,15,4.61880215351701,7
1851-05-18,50,7.14285714285714,7,2.19306265517513,7
1851-05-25,60,8.57142857142857,7,3.20713490294909,7
1851-06-01,72,10.2857142857143,9,4.15187851918806,7
1851-06-08,56,8,8,1.63299316185545,7
1851-06-15,119,17,18,2.88675134594813,7
1851-06-22,79,11.2857142857143,11,3.59231985000806,7
1851-06-29,35,5,3,4.08248290463863,7
1851-07-06,46,6.57142857142857,6,3.77964473009227,7
1851-07-13,71,10.1428571428571,9,2.19306265517513,7
1851-07-20,51,7.28571428571429,9,3.30223589477825,7
1851-07-27,37,5.28571428571429,4,4.53557367611073,7
1851-08-03,86,12.2857142857143,13,2.05866345916355,7
1851-08-10,74,10.5714285714286,10,3.86683086679272,7
1851-08-17,55,7.85714285714286,7,2.19306265517513,7
1851-08-24,76,10.8571428571429,12,2.41029537806548,7
1851-08-31,107,15.2857142857143,19,4.71572849495126,7
1851-09-07,90,12.8571428571429,13,1.95180014589707,7
1851-09-14,88,12.5714285714286,12,4.31497944595888,7
1851-09-21,78,11.1428571428571,11,3.23669437485075,7
1851-09-28,66,9.42857142857143,7,5.28700113035556,7
1851-10-05,64,9.14285714285714,10,3.76069902316805,7
1851-10-12,62,8.85714285714286,9,5.5805785670356,7
1851-10-19,121,17.2857142857143,17,4.02965199962667,7
1851-10-26,66,9.42857142857143,9,2.76026223736942,7
1851-11-02,75,10.7142857142857,11,1.70433620649269,7
1851-11-09,45,6.42857142857143,6,2.69920623252731,7
1851-11-16,60,8.57142857142857,8,4.19750492781695,7
1851-11-23,74,10.5714285714286,9,3.9940431835899,7
1851-11-30,78,11.1428571428571,11,4.52506248312556,7
1851-12-07,54,7.71428571428571,8,1.49602648308619,7
1851-12-14,92,13.1428571428571,13,1.67616341969505,7
