"Weekly","ISN","Mean","Median","Sd","Count"
1849-12-30,839,167.8,162,67.1245111714044,5
1850-01-06,990,141.428571428571,142,46.7684264679251,7
1850-01-13,828,118.285714285714,124,28.6456179645584,7
1850-01-20,1015,145,89,82.6276789782536,7
1850-01-27,1309,187,199,39.7198522991547,7
1850-02-03,1271,181.571428571429,179,18.707014217998,7
1850-02-10,1008,144,146,64.2209726906509,7
1850-02-17,1382,197.428571428571,190,54.503385652811,7
1850-02-24,1084,154.857142857143,148,37.8172296333676,7
1850-03-03,1237,176.714285714286,160,66.9619650391531,7
1850-03-10,1255,179.285714285714,186,37.9899736146012,7
1850-03-17,933,133.285714285714,133,21.769353731904,7
1850-03-24,949,135.571428571429,133,29.798529845487,7
1850-03-31,418,59.7142857142857,65,36.4724292478318,7
1850-04-07,451,64.4285714285714,57,34.0091024230139,7
1850-04-14,1095,156.428571428571,154,26.0567146999076,7
1850-04-21,467,66.7142857142857,65,26.0877639626594,7
1850-04-28,598,85.4285714285714,68,52.9869705457771,7
1850-05-05,1037,148.142857142857,142,20.4566906042055,7
1850-05-12,775,110.714285714286,124,57.3169965650512,7
1850-05-19,728,104,99,17.3781471969828,7
1850-05-26,874,124.857142857143,114,35.0401130678759,7
1850-06-02,986,140.857142857143,133,39.0744100890791,7
1850-06-09,1349,192.714285714286,245,81.4978819473535,7
1850-06-16,775,110.714285714286,106,22.0508071334837,7
1850-06-23,629,89.8571428571429,80,27.2973049428484,7
1850-06-30,323,46.1428571428571,61,26.3782016788394,7
1850-07-07,812,116,108,78.2879301041993,7
1850-07-14,940,134.285714285714,146,74.0938915289564,7
1850-07-21,75,10.7142857142857,0,13.3630620956212,7
1850-07-28,539,77,70,39.560080889705,7
1850-08-04,816,116.571428571429,114,14.7744953986833,7
1850-08-11,621,88.7142857142857,91,19.5679524198308,7
1850-08-18,928,132.571428571429,135,19.6965068210681,7
1850-08-25,939,134.142857142857,154,30.3063721101057,7
1850-09-01,1357,193.857142857143,199,28.1568734736214,7
1850-09-08,1173,167.571428571429,163,38.8709709288613,7
1850-09-15,1049,149.857142857143,144,39.7845387532585,7
1850-09-22,1078,154,158,13.9283882771841,7
1850-09-29,841,120.142857142857,127,26.2261229275225,7
1850-10-06,705,100.714285714286,106,26.2533444581466,7
1850-10-13,1287,183.857142857143,175,40.3130606273309,7
1850-10-20,980,140,146,15,7
1850-10-27,815,116.428571428571,103,32.3823879233612,7
1850-11-03,327,46.7142857142857,23,41.6361793224526,7
1850-11-10,542,77.4285714285714,66,30.6858118292322,7
1850-11-17,1013,144.714285714286,135,29.6463279666262,7
1850-11-24,1049,149.857142857143,152,41.5107559211207,7
1850-12-01,628,89.7142857142857,103,29.2729356557343,7
1850-12-08,814,116.285714285714,137,37.2277418319291,7
1850-12-15,1016,145.142857142857,137,26.8230533399199,7
1850-12-22,843,120.428571428571,110,47.6300225448093,7
1850-12-29,716,102.285714285714,101,12.8025295119661,7
1851-01-05,1870,267.142857142857,285,29.0598725130753,7
1851-01-12,919,131.285714285714,108,65.1733950977807,7
1851-01-19,475,67.8571428571429,70,32.1736360572264,7
1851-01-26,965,137.857142857143,150,59.3279826372811,7
1851-02-02,1740,248.571428571429,247,32.6233921333407,7
1851-02-09,1177,168.142857142857,154,33.672088200905,7
1851-02-16,1324,189.142857142857,199,33.9481397204057,7
1851-02-23,1308,186.857142857143,188,27.1012211989827,7
1851-03-02,860,122.857142857143,122,5.36745040121693,7
1851-03-09,969,138.428571428571,133,21.1806290657064,7
1851-03-16,866,123.714285714286,131,21.2423655753801,7
1851-03-23,730,104.285714285714,103,22.6915129928518,7
1851-03-30,675,96.4285714285714,97,18.6177079045474,7
1851-04-06,711,101.571428571429,89,29.1482254626083,7
1851-04-13,1136,162.285714285714,165,31.1432940117895,7
1851-04-20,531,75.8571428571429,74,19.836234281642,7
1851-04-27,817,116.714285714286,106,28.2176911748303,7
1851-05-04,1172,167.428571428571,163,24.4462481297038,7
1851-05-11,935,133.571428571429,150,46.0429406201687,7
1851-05-18,528,75.4285714285714,74,22.157445271339,7
1851-05-25,630,90,74,31.6385840391128,7
1851-06-01,741,105.857142857143,93,40.0642341389781,7
1851-06-08,597,85.2857142857143,87,15.5211069806493,7
1851-06-15,1228,175.428571428571,182,27.0361310278002,7
1851-06-22,821,117.285714285714,116,34.1648663869493,7
1851-06-29,387,55.2857142857143,30,41.2541484205499,7
1851-07-06,484,69.1428571428571,61,40.3130606273309,7
1851-07-13,749,107,99,21.9772609758359,7
1851-07-20,541,77.2857142857143,99,33.5097711407399,7
1851-07-27,395,56.4285714285714,46,44.1620392903873,7
1851-08-03,896,128,135,20.6074420214316,7
1851-08-10,773,110.428571428571,101,37.3847435141536,7
1851-08-17,579,82.7142857142857,74,23.3503339427533,7
1851-08-24,807,115.285714285714,129,22.4923267339055,7
1851-08-31,1102,157.428571428571,190,44.4516859179984,7
1851-09-07,930,132.857142857143,133,17.1991140414128,7
1851-09-14,916,130.857142857143,125,44.6446285362848,7
1851-09-21,818,116.857142857143,114,32.1373540262655,7
1851-09-28,699,99.8571428571429,76,52.9258241045225,7
1851-10-05,666,95.1428571428571,104,37.0919064461443,7
1851-10-12,657,93.8571428571429,91,56.1825256683623,7
1851-10-19,1252,178.857142857143,179,40.6096399533763,7
1851-10-26,701,100.142857142857,95,27.0704548134959,7
1851-11-02,774,110.571428571429,110,15.9044767582081,7
1851-11-09,499,71.2857142857143,68,28.4939425475795,7
1851-11-16,633,90.4285714285714,82,40.9750214271131,7
1851-11-23,761,108.714285714286,95,39.0713632801753,7
1851-11-30,810,115.714285714286,112,43.7900836785159,7
1851-12-07,588,84,87,13.9283882771841,7
1851-12-14,956,136.571428571429,135,18.1186565254081,7
1851-12-21,1280,182.857142857143,180,24.5250115285639,7
1851-12-28,1140,162.857142857143,156,35.8163304068064,7
1852-01-04,912,130.285714285714,133,19.3882635092667,7
1852-01-11,1028,146.857142857143,137,21.011334809483,7
1852-01-18,1143,163.285714285714,152,48.1065286134647,7
1852-01-25,519,74.1428571428571,63,32.9364467392815,7
1852-02-01,424,60.5714285714286,48,34.4956864108019,7
1852-02-08,847,121,114,33.8870673463098,7
1852-02-15,1524,217.714285714286,228,45.2464152750038,7
1852-02-22,797,113.857142857143,108,56.1825256683623,7
1852-02-29,450,64.2857142857143,68,17.7924542593603,7
1852-03-07,915,130.714285714286,139,30.6687369901571,7
1852-03-14,1094,156.285714285714,150,21.6156909498192,7
1852-03-21,758,108.285714285714,114,23.4926533602478,7
1852-03-28,856,122.285714285714,129,17.660825629193,7
1852-04-04,1310,187.142857142857,215,41.7908625237167,7
1852-04-11,873,124.714285714286,122,35.1554371599154,7
1852-04-18,459,65.5714285714286,72,29.999206338708,7
1852-04-25,821,117.285714285714,104,32.7501363137839,7
1852-05-02,951,135.857142857143,124,24.8087926041593,7
1852-05-09,592,84.5714285714286,84,15.7887844461097,7
1852-05-16,431,61.5714285714286,61,6.42539604115686,7
1852-05-23,806,115.142857142857,112,21.9425657222712,7
1852-05-30,1001,143,141,22.8619042659763,7
1852-06-06,423,60.4285714285714,57,46.4501781225761,7
1852-06-13,477,68.1428571428571,57,25.822655243207,7
1852-06-20,598,85.4285714285714,87,21.7091159259357,7
1852-06-27,743,106.142857142857,108,24.6199686665694,7
1852-07-04,820,117.142857142857,120,12.1439775393481,7
1852-07-11,331,47.2857142857143,48,35.8548661770118,7
1852-07-18,507,72.4285714285714,78,20.0487501094802,7
1852-07-25,567,81,78,15.556349186104,7
1852-08-01,507,72.4285714285714,74,35.929825785166,7
1852-08-08,429,61.2857142857143,53,15.173598625181,7
1852-08-15,414,59.1428571428571,63,12.0613511049215,7
1852-08-22,687,98.1428571428571,95,16.0979146830531,7
1852-08-29,588,84,89,16.8126936172247,7
1852-09-05,629,89.8571428571429,72,39.2489005002203,7
1852-09-12,251,35.8571428571429,36,22.9741055061894,7
1852-09-19,641,91.5714285714286,91,12.7391410340617,7
1852-09-26,451,64.4285714285714,63,10.6279057651252,7
1852-10-03,517,73.8571428571429,74,8.02970674907811,7
1852-10-10,785,112.142857142857,99,50.5253354645917,7
1852-10-17,1355,193.571428571429,169,50.595971983473,7
1852-10-24,1046,149.428571428571,171,51.6038020009416,7
1852-10-31,1042,148.857142857143,142,32.6518430895234,7
1852-11-07,979,139.857142857143,154,48.7285972553714,7
1852-11-14,358,51.1428571428571,49,30.8027518869585,7
1852-11-21,451,64.4285714285714,51,35.8508816388902,7
1852-11-28,760,108.571428571429,93,31.9836267635861,7
1852-12-05,532,76,76,17.8792244425385,7
1852-12-12,351,50.1428571428571,51,5.36745040121693,7
1852-12-19,468,66.8571428571429,49,46.702707171457,7
1852-12-26,1074,153.428571428571,148,32.0720914132373,7
1853-01-02,419,59.8571428571429,55,15.0158646263274,7
1853-01-09,226,32.2857142857143,30,9.25048261289261,7
1853-01-16,436,62.2857142857143,65,12.3249649859447,7
1853-01-23,983,140.428571428571,142,24.818387960389,7
1853-01-30,472,67.4285714285714,53,38.6430551882963,7
1853-02-06,537,76.7142857142857,72,13.3755284719805,7
1853-02-13,766,109.428571428571,110,14.2344317631245,7
1853-02-20,662,94.5714285714286,84,31.7849919661106,7
1853-02-27,198,28.2857142857143,30,14.9076522376293,7
1853-03-06,164,23.4285714285714,23,12.6603994520597,7
1853-03-13,616,88,85,42.3241459846898,7
1853-03-20,783,111.857142857143,106,12.3481249781572,7
1853-03-27,686,98,89,23.7627158941622,7
1853-04-03,770,110,116,33.0454232837166,7
1853-04-10,676,96.5714285714286,95,10.7526298001488,7
