"Weekly","Spots","Mean","Median","Sd","Count"
1849-12-30,29,5.8,7,3.11448230047949,5
1850-01-06,30,4.28571428571429,4,2.21466970556828,7
1850-01-13,28,4,4,2.94392028877595,7
1850-01-20,35,5,7,3.74165738677394,7
1850-01-27,39,5.57142857142857,7,3.45722156541651,7
1850-02-03,31,4.42857142857143,4,2.5727509827124,7
1850-02-10,28,4,5,3.3166247903554,7
1850-02-17,32,4.57142857142857,4,3.25868802112869,7
1850-02-24,34,4.85714285714286,6,2.60950643025148,7
1850-03-03,37,5.28571428571429,4,3.25137333621173,7
1850-03-10,25,3.57142857142857,2,2.99205296617238,7
1850-03-17,23,3.28571428571429,3,1.97604704011871,7
1850-03-24,29,4.14285714285714,3,2.03540097839643,7
1850-03-31,28,4,5,2.88675134594813,7
1850-04-07,31,4.42857142857143,5,3.15473944286703,7
1850-04-14,25,3.57142857142857,4,3.50509832753866,7
1850-04-21,27,3.85714285714286,5,3.02371578407382,7
1850-04-28,38,5.42857142857143,5,2.76026223736942,7
1850-05-05,17,2.42857142857143,2,1.51185789203691,7
1850-05-12,15,2.14285714285714,2,1.95180014589707,7
1850-05-19,38,5.42857142857143,5,3.10145895008263,7
1850-05-26,24,3.42857142857143,3,2.22539456105675,7
1850-06-02,16,2.28571428571429,2,2.21466970556828,7
1850-06-09,39,5.57142857142857,7,2.76026223736942,7
1850-06-16,25,3.57142857142857,4,2.29906813420444,7
1850-06-23,29,4.14285714285714,4,3.4364987719369,7
1850-06-30,33,4.71428571428571,5,3.25137333621173,7
1850-07-07,32,4.57142857142857,4,3.15473944286703,7
1850-07-14,50,7.14285714285714,8,2.26778683805536,7
1850-07-21,15,2.14285714285714,0,2.67261241912424,7
1850-07-28,29,4.14285714285714,5,3.48466026218585,7
1850-08-04,36,5.14285714285714,4,2.79455252402309,7
1850-08-11,31,4.42857142857143,3,3.45722156541651,7
1850-08-18,28,4,4,3.21455025366432,7
1850-08-25,29,4.14285714285714,4,2.26778683805536,7
1850-09-01,37,5.28571428571429,4,3.30223589477825,7
1850-09-08,23,3.28571428571429,3,2.9277002188456,7
1850-09-15,39,5.57142857142857,5,1.81265393434993,7
1850-09-22,28,4,3,2.70801280154532,7
1850-09-29,41,5.85714285714286,7,2.79455252402309,7
1850-10-06,35,5,6,2,7
1850-10-13,27,3.85714285714286,3,2.911389784311,7
1850-10-20,30,4.28571428571429,6,3.19970236711092,7
1850-10-27,25,3.57142857142857,3,2.93582145558064,7
1850-11-03,17,2.42857142857143,1,2.43975018237133,7
1850-11-10,32,4.57142857142857,6,2.8784916685157,7
1850-11-17,33,4.71428571428571,5,2.36038737740833,7
1850-11-24,19,2.71428571428571,2,1.11269728052837,7
1850-12-01,38,5.42857142857143,6,2.43975018237133,7
1850-12-08,34,4.85714285714286,5,2.11570094204982,7
1850-12-15,26,3.71428571428571,3,2.05866345916355,7
1850-12-22,23,3.28571428571429,1,4.02965199962667,7
1850-12-29,26,3.71428571428571,4,1.97604704011871,7
1851-01-05,40,5.71428571428571,5,1.60356745147455,7
1851-01-12,49,7,7,1.52752523165195,7
1851-01-19,25,3.57142857142857,5,3.50509832753866,7
1851-01-26,35,5,7,3.05505046330389,7
1851-02-02,30,4.28571428571429,4,3.45032779671177,7
1851-02-09,27,3.85714285714286,4,2.67261241912424,7
1851-02-16,44,6.28571428571429,8,3.25137333621173,7
1851-02-23,28,4,3,2.70801280154532,7
1851-03-02,20,2.85714285714286,2,2.34012616672488,7
1851-03-09,29,4.14285714285714,3,2.85356919363403,7
1851-03-16,26,3.71428571428571,3,2.81154084173819,7
1851-03-23,40,5.71428571428571,6,2.21466970556828,7
1851-03-30,35,5,5,2.38047614284762,7
1851-04-06,41,5.85714285714286,7,3.53216512583861,7
1851-04-13,26,3.71428571428571,3,3.14718316987777,7
1851-04-20,41,5.85714285714286,5,1.86445447147161,7
1851-04-27,27,3.85714285714286,4,2.85356919363403,7
1851-05-04,32,4.57142857142857,5,2.76026223736942,7
1851-05-11,25,3.57142857142857,4,3.15473944286703,7
1851-05-18,28,4,4,1.82574185835055,7
1851-05-25,30,4.28571428571429,4,2.49761791275112,7
1851-06-01,21,3,3,2.82842712474619,7
1851-06-08,37,5.28571428571429,5,3.30223589477825,7
1851-06-15,38,5.42857142857143,5,3.30943816264649,7
1851-06-22,31,4.42857142857143,3,2.50713268211203,7
1851-06-29,37,5.28571428571429,6,2.9277002188456,7
1851-07-06,24,3.42857142857143,3,3.50509832753866,7
1851-07-13,39,5.57142857142857,6,2.69920623252731,7
1851-07-20,31,4.42857142857143,3,2.93582145558064,7
1851-07-27,25,3.57142857142857,5,3.20713490294909,7
1851-08-03,36,5.14285714285714,5,1.3451854182691,7
1851-08-10,33,4.71428571428571,5,2.28868854108532,7
1851-08-17,29,4.14285714285714,3,3.23669437485075,7
1851-08-24,47,6.71428571428571,7,2.42997158517582,7
1851-08-31,32,4.57142857142857,5,3.5523298860111,7
1851-09-07,30,4.28571428571429,4,3.25137333621173,7
1851-09-14,36,5.14285714285714,5,1.77281052085584,7
1851-09-21,38,5.42857142857143,5,2.5727509827124,7
1851-09-28,39,5.57142857142857,6,1.2724180205607,7
1851-10-05,26,3.71428571428571,4,2.6903708365382,7
1851-10-12,37,5.28571428571429,6,2.81154084173819,7
1851-10-19,42,6,8,3.46410161513775,7
1851-10-26,41,5.85714285714286,6,1.67616341969505,7
1851-11-02,24,3.42857142857143,2,3.59894164336975,7
1851-11-09,49,7,7,1.82574185835055,7
1851-11-16,33,4.71428571428571,5,2.56347977784662,7
1851-11-23,21,3,4,2.16024689946929,7
1851-11-30,30,4.28571428571429,4,3.30223589477825,7
1851-12-07,48,6.85714285714286,8,2.79455252402309,7
1851-12-14,36,5.14285714285714,5,2.79455252402309,7
1851-12-21,10,1.42857142857143,1,1.39727626201154,7
1851-12-28,30,4.28571428571429,3,2.75162289775117,7
1852-01-04,42,6,6,2,7
1852-01-11,38,5.42857142857143,5,2.93582145558064,7
1852-01-18,23,3.28571428571429,2,3.30223589477825,7
1852-01-25,29,4.14285714285714,4,2.19306265517513,7
1852-02-01,24,3.42857142857143,3,3.15473944286703,7
1852-02-08,27,3.85714285714286,4,1.4638501094228,7
1852-02-15,34,4.85714285714286,6,3.02371578407382,7
1852-02-22,37,5.28571428571429,6,2.1380899352994,7
1852-02-29,40,5.71428571428571,6,1.79947082168487,7
1852-03-07,35,5,6,2.94392028877595,7
1852-03-14,34,4.85714285714286,4,3.53216512583861,7
1852-03-21,18,2.57142857142857,2,2.07019667802706,7
1852-03-28,36,5.14285714285714,5,3.71611676478603,7
1852-04-04,40,5.71428571428571,6,2.1380899352994,7
1852-04-11,23,3.28571428571429,2,3.03942350423485,7
1852-04-18,29,4.14285714285714,3,3.07834216359885,7
1852-04-25,31,4.42857142857143,5,2.22539456105675,7
1852-05-02,21,3,2,2.88675134594813,7
1852-05-09,22,3.14285714285714,2,2.96808419852332,7
1852-05-16,31,4.42857142857143,5,3.35942171894424,7
1852-05-23,26,3.71428571428571,3,3.09377254681539,7
1852-05-30,31,4.42857142857143,4,2.63673679998231,7
1852-06-06,23,3.28571428571429,4,2.9277002188456,7
1852-06-13,37,5.28571428571429,7,2.87020822207993,7
1852-06-20,28,4,4,1.91485421551268,7
1852-06-27,33,4.71428571428571,5,2.75162289775117,7
1852-07-04,30,4.28571428571429,4,2.36038737740833,7
1852-07-11,31,4.42857142857143,6,4.23702501200795,7
1852-07-18,37,5.28571428571429,5,1.70433620649269,7
1852-07-25,37,5.28571428571429,5,1.97604704011871,7
1852-08-01,27,3.85714285714286,4,3.71611676478603,7
1852-08-08,19,2.71428571428571,3,2.62769136406122,7
1852-08-15,24,3.42857142857143,3,3.5523298860111,7
